gps__class,gps__device,gps__ecefpAcc,gps__ecefvAcc,gps__ecefvx,gps__ecefvy,gps__ecefvz,gps__ecefx,gps__ecefy,gps__ecefz,gps__epc,gps__eph,gps__eps,gps__ept,gps__epv,gps__epx,gps__epy,gps__geoidSep,gps__lat,gps__leapseconds,gps__lon,gps__magvar,gps__mode,gps__sep,gps__speed,gps__status,gps__time,i2c__barometer__altitude,i2c__barometer__pressure,i2c__barometer__temperature,i2c__imu1__accel__accel_range,i2c__imu1__accel__in,i2c__imu1__accel__x,i2c__imu1__accel__x_raw,i2c__imu1__accel__y,i2c__imu1__accel__y_raw,i2c__imu1__accel__z,i2c__imu1__accel__z_raw,i2c__imu1__gyro__gyro_range,i2c__imu1__gyro__x,i2c__imu1__gyro__x_raw,i2c__imu1__gyro__y,i2c__imu1__gyro__y_raw,i2c__imu1__gyro__z,i2c__imu1__gyro__z_raw,i2c__imu1__temperature,i2c__imu2__accel__accel_range,i2c__imu2__accel__in,i2c__imu2__accel__x,i2c__imu2__accel__x_raw,i2c__imu2__accel__y,i2c__imu2__accel__y_raw,i2c__imu2__accel__z,i2c__imu2__accel__z_raw,i2c__imu2__gyro__gyro_range,i2c__imu2__gyro__x,i2c__imu2__gyro__x_raw,i2c__imu2__gyro__y,i2c__imu2__gyro__y_raw,i2c__imu2__gyro__z,i2c__imu2__gyro__z_raw,i2c__imu2__temperature,i2c__imu3__accel__accel_range,i2c__imu3__accel__in,i2c__imu3__accel__x,i2c__imu3__accel__x_raw,i2c__imu3__accel__y,i2c__imu3__accel__y_raw,i2c__imu3__accel__z,i2c__imu3__accel__z_raw,i2c__imu3__gyro__gyro_range,i2c__imu3__gyro__x,i2c__imu3__gyro__x_raw,i2c__imu3__gyro__y,i2c__imu3__gyro__y_raw,i2c__imu3__gyro__z,i2c__imu3__gyro__z_raw,i2c__imu3__temperature,i2c__imu4__accel__accel_range,i2c__imu4__accel__in,i2c__imu4__accel__x,i2c__imu4__accel__x_raw,i2c__imu4__accel__y,i2c__imu4__accel__y_raw,i2c__imu4__accel__z,i2c__imu4__accel__z_raw,i2c__imu4__gyro__gyro_range,i2c__imu4__gyro__x,i2c__imu4__gyro__x_raw,i2c__imu4__gyro__y,i2c__imu4__gyro__y_raw,i2c__imu4__gyro__z,i2c__imu4__gyro__z_raw,i2c__imu4__temperature,i2c__timestamp
TPV,/dev/ttyS0,8.26,0.47,-0.01,0.0,0.0,-2451472.26,5832802.66,-803430.81,143.52,39.71,0.47,0.005,71.76,4.212,2.047,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:38.000Z,-17.538462334444894,1011.35,32.0,0,m/s^2,0.258573779296875,432,-0.19632453613281248,-328,9.897629663085937,16536,0,-4.396946564885496,-576,1.7938931297709924,235,-0.25190839694656486,-33,33.7064705882353,0,m/s^2,-0.1484405029296875,-248,-0.11252747802734374,-188,9.782707983398437,16344,0,2.931297709923664,384,-1.8702290076335877,-245,-0.44274809160305345,-58,29.23588235294118,0,m/s^2,-1.3168109130859373,-2200,-0.32561142578124996,-544,12.533645690917968,20940,0,1.0534351145038168,138,-0.48091603053435117,-63,0.4732824427480916,62,29.659411764705883,0,m/s^2,-0.3950432739257812,-660,-0.5770026000976562,-964,9.414000927734374,15728,0,-3.6793893129770994,-482,0.732824427480916,96,-2.519083969465649,-330,33.47117647058823,2023-09-28T16:41:39.000137
TPV,/dev/ttyS0,8.23,0.43,0.02,0.01,0.01,-2451472.31,5832802.79,-803430.85,143.52,39.71,0.43,0.005,71.76,4.174,2.056,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:39.000Z,-17.121222729444852,1011.3,32.0,0,m/s^2,0.0718260498046875,120,-0.28490999755859375,-476,10.060435375976562,16808,0,-4.0458015267175576,-530,1.6412213740458015,215,-0.09923664122137404,-13,33.65941176470589,0,m/s^2,-0.02154781494140625,-36,-0.18435352783203124,-308,9.79946739501953,16372,0,3.1297709923664123,410,-1.702290076335878,-223,-0.3893129770992366,-51,29.28294117647059,0,m/s^2,-1.2928688964843749,-2160,-0.4213794921875,-704,12.30859073486328,20564,0,0.9236641221374046,121,-0.549618320610687,-72,0.5190839694656488,68,29.61235294117647,0,m/s^2,-0.17238251953125,-288,-0.5722141967773438,-956,9.562441430664062,15976,0,-3.5801526717557253,-469,0.4580152671755725,60,-2.404580152671756,-315,33.42411764705882,2023-09-28T16:41:39.100137
TPV,/dev/ttyS0,8.23,0.43,0.02,0.01,0.01,-2451472.31,5832802.79,-803430.85,143.52,39.71,0.43,0.005,71.76,4.174,2.056,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:39.000Z,-17.37156849677605,1011.33,32.0,0,m/s^2,-0.03591302490234375,-60,-0.17956512451171874,-300,9.267954626464844,15484,0,-4.557251908396947,-597,1.5801526717557253,207,-0.33587786259541985,-44,33.65941176470589,0,m/s^2,-0.047884033203124995,-80,-0.06703764648437499,-112,9.648632690429688,16120,0,2.8625954198473282,375,-1.251908396946565,-164,-0.32061068702290074,-42,29.23588235294118,0,m/s^2,-1.4915876342773438,-2492,-0.4381389038085937,-732,12.586318127441405,21028,0,0.8625954198473282,113,-0.8702290076335878,-114,0.3893129770992366,51,29.706470588235295,0,m/s^2,-0.5291185668945312,-884,-0.41898529052734373,-700,9.514557397460937,15896,0,-3.6564885496183206,-479,1.2061068702290076,158,-2.267175572519084,-297,32.012352941176474,2023-09-28T16:41:39.200134
TPV,/dev/ttyS0,8.23,0.43,0.02,0.01,0.01,-2451472.31,5832802.79,-803430.85,143.52,39.71,0.43,0.005,71.76,4.174,2.056,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:39.000Z,-16.870870948830753,1011.27,32.0,0,m/s^2,-0.086191259765625,-144,-0.10295067138671875,-172,9.744400756835937,16280,0,-4.1679389312977095,-546,1.6412213740458015,215,-0.40458015267175573,-53,33.75352941176471,0,m/s^2,0.076614453125,128,-0.21787235107421873,-364,9.679757312011718,16172,0,2.854961832061069,374,-1.534351145038168,-201,-0.37404580152671757,-49,29.141764705882352,0,m/s^2,-1.4724340209960938,-2460,-0.37828386230468747,-632,12.74912384033203,21300,0,0.9389312977099237,123,-0.007633587786259542,-1,0.8320610687022901,109,29.706470588235295,0,m/s^2,-0.6392518432617187,-1068,-0.35194764404296874,-588,9.478644372558593,15836,0,-3.6412213740458017,-477,1.6106870229007633,211,-2.3053435114503817,-302,33.42411764705882,2023-09-28T16:41:39.300149
TPV,/dev/ttyS0,8.23,0.43,0.02,0.01,0.01,-2451472.31,5832802.79,-803430.85,143.52,39.71,0.43,0.005,71.76,4.174,2.056,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:39.000Z,-16.954322210531018,1011.28,32.0,0,m/s^2,0.009576806640625,16,-0.19393033447265623,-324,9.70369932861328,16212,0,-4.122137404580153,-540,1.6259541984732824,213,-0.007633587786259542,-1,33.75352941176471,0,m/s^2,-0.11731588134765625,-196,-0.1867477294921875,-312,9.821015209960937,16408,0,2.816793893129771,369,-1.6641221374045803,-218,-0.42748091603053434,-56,29.23588235294118,0,m/s^2,-1.1252747802734375,-1880,-0.4213794921875,-704,12.682086193847656,21188,0,0.8931297709923665,117,-0.5190839694656488,-68,0.7633587786259542,100,29.706470588235295,0,m/s^2,-0.6967126831054687,-1164,-0.39743747558593745,-664,9.121908325195312,15240,0,-3.3206106870229006,-435,1.3511450381679388,177,-2.3969465648854964,-314,32.81235294117647,2023-09-28T16:41:39.400129
TPV,/dev/ttyS0,8.23,0.43,0.02,0.01,0.01,-2451472.31,5832802.79,-803430.85,143.52,39.71,0.43,0.005,71.76,4.174,2.056,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:39.000Z,-17.538462334444894,1011.35,32.0,0,m/s^2,0.08379705810546874,140,-0.19632453613281248,-328,9.97184991455078,16660,0,-4.519083969465649,-592,0.04580152671755725,6,-0.17557251908396945,-23,33.75352941176471,0,m/s^2,-0.1388636962890625,-232,-0.2609679809570312,-436,9.938331091308592,16604,0,2.8625954198473282,375,-1.5725190839694656,-206,-0.6412213740458015,-84,29.23588235294118,0,m/s^2,-1.1540052001953125,-1928,-0.3016694091796875,-504,12.703634008789061,21224,0,1.0534351145038168,138,-0.4122137404580153,-54,0.6030534351145038,79,29.659411764705883,0,m/s^2,-0.33039982910156246,-552,-0.5386953735351562,-900,9.294290844726563,15528,0,-3.4580152671755724,-453,0.6183206106870229,81,-2.1068702290076335,-276,32.012352941176474,2023-09-28T16:41:39.500147
TPV,/dev/ttyS0,8.23,0.43,0.02,0.01,0.01,-2451472.31,5832802.79,-803430.85,143.52,39.71,0.43,0.005,71.76,4.174,2.056,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:39.000Z,-17.788798080376157,1011.38,32.0,0,m/s^2,0.28012159423828126,468,-0.21068974609375,-352,9.888052856445311,16520,0,-4.473282442748092,-586,1.7786259541984732,233,-0.22900763358778625,-30,33.65941176470589,0,m/s^2,-0.0383072265625,-64,-0.15562310791015624,-260,9.739612353515625,16272,0,2.900763358778626,380,-1.9236641221374047,-252,-0.3053435114503817,-40,29.23588235294118,0,m/s^2,-1.0390835205078124,-1736,-0.3064578125,-512,12.581529724121093,21020,0,1.0763358778625953,141,-0.9694656488549618,-127,0.549618320610687,72,29.706470588235295,0,m/s^2,-0.33039982910156246,-552,-0.5961562133789062,-996,9.45470235595703,15796,0,-3.801526717557252,-498,0.5419847328244275,71,-2.3969465648854964,-314,32.76529411764706,2023-09-28T16:41:39.600141
TPV,/dev/ttyS0,8.23,0.43,0.02,0.01,0.01,-2451472.31,5832802.79,-803430.85,143.52,39.71,0.43,0.005,71.76,4.174,2.056,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:39.000Z,-17.121222729444852,1011.3,32.0,0,m/s^2,0.15562310791015624,260,-0.09576806640624999,-160,9.81862100830078,16404,0,-4.305343511450381,-564,1.5954198473282444,209,-0.22900763358778625,-30,33.75352941176471,0,m/s^2,0.06943184814453125,116,-0.21068974609375,-352,9.56962403564453,15988,0,2.8473282442748094,373,-1.748091603053435,-229,-0.35877862595419846,-47,29.23588235294118,0,m/s^2,-1.5729904907226562,-2628,-0.24660277099609373,-412,12.516886279296875,20912,0,1.0687022900763359,140,-1.0229007633587786,-134,0.6793893129770993,89,29.706470588235295,0,m/s^2,-0.239420166015625,-400,-0.5626373901367188,-940,9.739612353515625,16272,0,-3.8473282442748094,-504,0.46564885496183206,61,-2.732824427480916,-358,32.671176470588236,2023-09-28T16:41:39.700141
TPV,/dev/ttyS0,8.23,0.43,0.02,0.01,0.01,-2451472.31,5832802.79,-803430.85,143.52,39.71,0.43,0.005,71.76,4.174,2.056,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:39.000Z,-17.121222729444852,1011.3,32.0,0,m/s^2,-0.040701428222656245,-68,-0.06943184814453125,-116,9.955090502929687,16632,0,-4.0458015267175576,-530,1.9236641221374047,252,-0.3282442748091603,-43,33.75352941176471,0,m/s^2,0.09576806640624999,160,-0.1149216796875,-192,9.694122521972655,16196,0,2.801526717557252,367,-1.465648854961832,-192,-0.4198473282442748,-55,29.23588235294118,0,m/s^2,-1.426944189453125,-2384,-0.2059013427734375,-344,12.478579052734375,20848,0,1.0763358778625953,141,-0.8549618320610687,-112,0.7557251908396947,99,29.706470588235295,0,m/s^2,-0.48123453369140623,-804,-0.6081272216796875,-1016,9.718064538574218,16236,0,-3.946564885496183,-517,0.9236641221374046,121,-2.2748091603053435,-298,32.71823529411765,2023-09-28T16:41:39.800139
TPV,/dev/ttyS0,8.23,0.43,0.02,0.01,0.01,-2451472.31,5832802.79,-803430.85,143.52,39.71,0.43,0.005,71.76,4.174,2.056,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:39.000Z,-17.121222729444852,1011.3,32.0,0,m/s^2,0.09576806640624999,160,-0.16041151123046873,-268,9.334992272949219,15596,0,-4.183206106870229,-548,1.717557251908397,225,-0.42748091603053434,-56,33.75352941176471,0,m/s^2,0.08858546142578125,148,-0.3016694091796875,-504,9.765948571777344,16316,0,2.763358778625954,362,-1.5801526717557253,-207,-0.5038167938931297,-66,29.23588235294118,0,m/s^2,-1.465251416015625,-2448,-0.3854664672851562,-644,12.701239807128905,21220,0,1.015267175572519,133,-0.16030534351145037,-21,0.7938931297709924,104,29.000588235294117,0,m/s^2,-0.6584054565429687,-1100,-0.28490999755859375,-476,9.567229833984374,15984,0,-3.6412213740458017,-477,1.251908396946565,164,-2.404580152671756,-315,32.012352941176474,2023-09-28T16:41:39.900138
TPV,/dev/ttyS0,8.23,0.43,0.02,0.01,0.01,-2451472.31,5832802.79,-803430.85,143.52,39.71,0.43,0.005,71.76,4.174,2.056,22.35,-7.285268333,18,112.796108333,0.8,3,71.44,0.082,2,2023-09-28T09:41:39.000Z,-17.121222729444852,1011.3,32.0,0,m/s^2,0.011971008300781249,20,-0.22744915771484372,-380,9.560047229003906,15972,0,-4.198473282442748,-550,1.381679389312977,181,-0.22137404580152673,-29,33.80058823529412,0,m/s^2,0.143652099609375,240,-0.20829554443359374,-348,9.662997900390625,16144,0,2.8931297709923665,379,-1.3206106870229009,-173,-0.24427480916030533,-32,29.23588235294118,0,m/s^2,-1.618480322265625,-2704,-0.3495534423828125,-584,12.679691992187498,21184,0,1.0687022900763359,140,-0.6793893129770993,-89,0.6259541984732825,82,29.753529411764706,0,m/s^2,-0.4860229370117187,-812,-0.3327940307617187,-556,9.387664709472656,15684,0,-3.6106870229007635,-473,1.083969465648855,142,-2.3969465648854964,-314,32.012352941176474,2023-09-28T16:41:40.000153
